行政代码,地名,东经,北纬
150703,内蒙古呼伦贝尔市扎赉诺尔区,117.669939,49.511213
150721,内蒙古呼伦贝尔市阿荣旗,114.415868,43.468238
150722,内蒙古呼伦贝尔市莫力达瓦达斡尔族自治旗,124.474434,49.104887
150723,内蒙古呼伦贝尔市鄂伦春自治旗,123.817278,50.348755
150724,内蒙古呼伦贝尔市鄂温克族自治旗,120.067483,48.499137
150725,内蒙古呼伦贝尔市陈巴尔虎旗,114.415868,43.468238
150726,内蒙古呼伦贝尔市新巴尔虎左旗,114.415868,43.468238
150727,内蒙古呼伦贝尔市新巴尔虎右旗,114.415868,43.468238
150781,内蒙古呼伦贝尔市满洲里市,117.603687,49.500032
150782,内蒙古呼伦贝尔市牙克石市,121.512668,49.329996
150783,内蒙古呼伦贝尔市扎兰屯市,121.929202,47.743403
150784,内蒙古呼伦贝尔市额尔古纳市,120.652764,51.660819
150785,内蒙古呼伦贝尔市根河市,121.797713,51.375925
150800,内蒙古巴彦淖尔市,107.423807,40.76918
150802,内蒙古巴彦淖尔市临河区,107.44184,40.932018
150821,内蒙古巴彦淖尔市五原县,108.072284,41.045427
150822,内蒙古巴彦淖尔市磴口县,106.7,40.555181
150823,内蒙古巴彦淖尔市乌拉特前旗,109.105297,40.905993
150824,内蒙古巴彦淖尔市乌拉特中旗,108.464542,41.831045
150825,内蒙古巴彦淖尔市乌拉特后旗,106.413808,41.531945
150826,内蒙古巴彦淖尔市杭锦后旗,114.415868,43.468238
150900,内蒙古乌兰察布市,113.112846,41.022363
150902,内蒙古乌兰察布市集宁区,113.112832,41.027766
150921,内蒙古乌兰察布市卓资县,112.443377,40.958869
150922,内蒙古乌兰察布市化德县,114.165738,41.979126
150923,内蒙古乌兰察布市商都县,114.415868,43.468238
150924,内蒙古乌兰察布市兴和县,113.773721,40.952667
150925,内蒙古乌兰察布市凉城县,112.550432,40.50278
150926,内蒙古乌兰察布市察哈尔右翼前旗,113.241096,40.98171
150927,内蒙古乌兰察布市察哈尔右翼中旗,112.470743,41.428255
150928,内蒙古乌兰察布市察哈尔右翼后旗,113.069693,41.529483
150929,内蒙古乌兰察布市四子王旗,111.589037,42.307146
150981,内蒙古乌兰察布市丰镇市,113.308677,40.558336
152200,内蒙古兴安盟,114.415868,43.468238
152201,内蒙古兴安盟乌兰浩特市,122.081534,46.116944
152202,内蒙古兴安盟阿尔山市,120.357534,47.163696
152221,内蒙古兴安盟科尔沁右翼前旗,121.221524,46.334025
152222,内蒙古兴安盟科尔沁右翼中旗,121.19851,45.242069
152223,内蒙古兴安盟扎赉特旗,114.415868,43.468238
152224,内蒙古兴安盟突泉县,121.519212,45.632866
152500,内蒙古锡林郭勒盟,114.415868,43.468238
152501,内蒙古锡林郭勒盟二连浩特市,111.966178,43.41778
152502,内蒙古锡林郭勒盟锡林浩特市,116.136948,44.078961
152522,内蒙古锡林郭勒盟阿巴嘎旗,114.415868,43.468238
152523,内蒙古锡林郭勒盟苏尼特左旗,113.140307,44.039238
152524,内蒙古锡林郭勒盟苏尼特右旗,112.9116,42.900964
152525,内蒙古锡林郭勒盟东乌珠穆沁旗,117.81045,45.826665
152526,内蒙古锡林郭勒盟西乌珠穆沁旗,117.816963,44.715903
152527,内蒙古锡林郭勒盟太仆寺旗,115.304558,41.906216
152528,内蒙古锡林郭勒盟镶黄旗,114.120589,42.368276
152529,内蒙古锡林郭勒盟正镶白旗,115.024347,42.554843
152530,内蒙古锡林郭勒盟正蓝旗,115.94011,42.674414
152531,内蒙古锡林郭勒盟多伦县,116.498639,42.196601
152900,内蒙古阿拉善盟,114.415868,43.468238
152921,内蒙古阿拉善盟阿拉善左旗,105.038247,39.547806
152922,内蒙古阿拉善盟阿拉善右旗,102.443856,40.186229
152923,内蒙古阿拉善盟额济纳旗,114.415868,43.468238
210000,辽宁省,122.753592,41.6216
210100,辽宁省沈阳市,123.432791,41.808645
210102,辽宁省沈阳市和平区,123.414332,41.786474
210103,辽宁省沈阳市沈河区,123.453552,41.798305
210104,辽宁省沈阳市大东区,123.498927,41.835279
210105,辽宁省沈阳市皇姑区,123.415376,41.848913
210106,辽宁省沈阳市铁西区,123.35863,41.805724
210111,辽宁省沈阳市苏家屯区,123.426289,41.589345
210112,辽宁省沈阳市浑南区,123.599872,41.765562
210114,辽宁省沈阳市于洪区,123.242847,41.843551
210115,辽宁省沈阳市辽中区,122.766159,41.517449
210123,辽宁省沈阳市康平县,123.273598,42.765541
210124,辽宁省沈阳市法库县,123.248897,42.415298
210181,辽宁省沈阳市新民市,122.866418,42.016776
210200,辽宁省大连市,121.593478,38.94871
210202,辽宁省大连市中山区,121.677966,38.900436
210203,辽宁省大连市西岗区,121.625823,38.91337
210204,辽宁省大连市沙河口区,121.582618,38.921778
210211,辽宁省大连市甘井子区,121.5285,38.955462
210212,辽宁省大连市旅顺口区,121.295936,38.908291
210213,辽宁省大连市金州区,121.956582,39.298619
210214,辽宁省大连市普兰店区,121.938299,39.391565
210224,辽宁省大连市长海县,122.748265,39.260109
210281,辽宁省大连市瓦房店市,121.790699,39.708956
